country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2.5,2.8,2.5,2.691,2.487,3.057,3.691,3.458,3.525,3.368,2.794,3.88,4.063,3.547,3.192,1.1,1.011,0.92,0.613,0.26,0.586,0.392,0.33,0.26,0.23,0.25,0.25,0.27,0.2,0.17,0.1,0.08,0.08,0.033,0.1,0.062,0.071,0.064,0.085,0.055,0.05,0.021,0.057,0.038,0.015,0.025,0.035,0.03,0.03,0.03,0.025,0.035,0.029,0.031,0.03,0.025,0.02,0.019,0.02,0.032,0.03,0.03,0.02,0.03,0.045,0.05
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.036,0.03,0.018,0.02,0.012,0.011,0.018,0.007,0.028,0.009,0.021,0.043,0.009,0.023,0.049,0.019,0.017,0.003,0.003,0.005,0.036,0.037,0.05,0.055,0.055,0.025,0.02,0.03,0.04,0.035,0.035,0.035,0.035,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.028,0.034,0.038,0.038,0.058,0.059,0.072,0.092,0.059,0.069,0.086,0.092,0.088,0.089,0.1,0.124,0.108,0.118,0.122,0.129,0.145,0.135,0.155,0.15,0.14,0.15,0.157,0.16,0.17,0.17,0.19,0.2,0.085,0.058,0.123,0.151,0.133,0.153,0.15,0.184,0.173,0.118,0.149,0.125,0.165,0.135,0.152,0.14,0.135,0.14,0.125,0.14,0.115,0.128,0.1,0.08,0.075,0.085,0.085,0.085,0.08,0.085,0.09,0.07,0.085,0.08
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,29.8,39.6,28.9,23.2,11.0,37.7,21.0,24.5,17.0,21.0,11.0,24.6,24.5,14.3,27.5,23.0,9.3,17.5,20.0,22.0,21.5,33.0,17.75,30.0,27.0,33.0,13.9,38.0,25.0,26.0,31.0,28.5,24.0,28.5,28.0,16.8,28.0,23.5,35.6,30.8,34.1,35.1,53.6,33.2,43.6,36.1,46.7,39.1,53.3,44.8,54.5,49.2,57.6,57.2,54.3,49.4,56.1,52.1,66.5,60.5,69.9,58.1,62.6,66.3,65.0,63.0
